Province,Municipality,Address,Typology,Reflui Trattati,Potenz. (A.E.),Corpo Recettore,Recettore Finale,full_address,fallback_address,Latitude,Longitude
AVELLINO,ROTONDI,Località Fungarelli,Comprensoriale,Urbani,30000,Fiume Isclero,Fiume Isclero,"Località Fungarelli, ROTONDI, Campania, Italy","ROTONDI, AVELLINO, Campania, Italy",41.0311909,14.5967236
NAPOLI,SORRENTO,"Via del Mare, 33",Comunale,Urbani,30000,¬†Corpo Idrico Superficiale,Mar Tirreno,"Via del Mare, 33, SORRENTO, Campania, Italy","SORRENTO, NAPOLI, Campania, Italy",40.6242616,14.369306
AVELLINO,ROTONDI,Località Fungarelle,Sovracomunale,Urbani,28000,Torrente Isclero,Torrente Isclero,"Località Fungarelle, ROTONDI, Campania, Italy","ROTONDI, AVELLINO, Campania, Italy",41.0311909,14.5967236
SALERNO,EBOLI,VIA MACCHIONE LOC. SERRACAPILLI,Comunale,Urbani,27523,Torrente Telegro,Fiume Sele,"VIA MACCHIONE LOC. SERRACAPILLI, EBOLI, Campania, Italy","EBOLI, SALERNO, Campania, Italy",40.6175146,15.0569438
AVELLINO,LUOGOSANO,Area Asi Luogosano San Mango Sul Calore,Consortile,Industriali,26000,Fiume Calore,Fiume Calore,"Area Asi Luogosano San Mango Sul Calore, LUOGOSANO, Campania, Italy","LUOGOSANO, AVELLINO, Campania, Italy",40.985631,14.9919563
AVELLINO,LUOGOSANO,Asi,Consortile,Industriali,26000,Fiume Calore,Fiume Calore,"Asi, LUOGOSANO, Campania, Italy","LUOGOSANO, AVELLINO, Campania, Italy",40.985631,14.9919563
AVELLINO,LUOGOSANO,Area ASI Luogosano San Mango sul calore,Consortile,Industriali,26000,Fiume Calore,Fiume Calore,"Area ASI Luogosano San Mango sul calore, LUOGOSANO, Campania, Italy","LUOGOSANO, AVELLINO, Campania, Italy",40.985631,14.9919563
CASERTA,MONDRAGONE,LOC.STERCOLILLI SANCELLO,Depuratore,Urbani,25000,Mare Tirreno,Mare,"LOC.STERCOLILLI SANCELLO, MONDRAGONE, Campania, Italy","MONDRAGONE, CASERTA, Campania, Italy",41.114112,13.893519
AVELLINO,FLUMERI,ZONA ASI Valle Ufita,Consortile,Industriali,23000,Fiume Ufita,Fiume Ufita,"ZONA ASI Valle Ufita, FLUMERI, Campania, Italy","FLUMERI, AVELLINO, Campania, Italy",41.0688715,15.1206521
AVELLINO,FLUMERI,Area Asi Valle Ufita,Consortile,Industriali,22000,Fiume Ufita,Fiume Ufita,"Area Asi Valle Ufita, FLUMERI, Campania, Italy","FLUMERI, AVELLINO, Campania, Italy",41.077821,15.147747
AVELLINO,LACEDONIA,Area ASI Calaggio,Consortile,Urbani + Industriali,22000,Torrente Scafa,Fiume Ofanto,"Area ASI Calaggio, LACEDONIA, Campania, Italy","LACEDONIA, AVELLINO, Campania, Italy",41.051222,15.423854
AVELLINO,LACEDONIA,Area ASI Calaggio,Consortile,Industriali,22000,Torrente Scafa,Fiume Ofanto,"Area ASI Calaggio, LACEDONIA, Campania, Italy","LACEDONIA, AVELLINO, Campania, Italy",41.051222,15.423854
AVELLINO,LACEDONIA,Area ASI Calaggio,Consortile,Industriali,22000,Torrente Scafa,Fiume Ofanto,"Area ASI Calaggio, LACEDONIA, Campania, Italy","LACEDONIA, AVELLINO, Campania, Italy",41.051222,15.423854
SALERNO,VALLO DELLA LUCANIA,VIA DELLE INDUSTRIE,Comunale,Urbani,20000,Torrente Badolato,Fiume Alento,"VIA DELLE INDUSTRIE, VALLO DELLA LUCANIA, Campania, Italy","VALLO DELLA LUCANIA, SALERNO, Campania, Italy",40.229704,15.26576
NAPOLI,TORRE DEL GRECO,"Viale Europa, 2",Comunale,Urbani,20000,Corpo Idrico Superficiale,Mar Tirreno,"Viale Europa, 2, TORRE DEL GRECO, Campania, Italy","TORRE DEL GRECO, NAPOLI, Campania, Italy",40.7603452,14.4007984
SALERNO,POSITANO,LOC. RIVO DEI MULINI,Comunale,Urbani,18000,Condotta Sottomarina,Mare,"LOC. RIVO DEI MULINI, POSITANO, Campania, Italy","POSITANO, SALERNO, Campania, Italy",40.6286581,14.4854955
SALERNO,CAMPAGNA,LOC. MADONNA DEL PONTE,Comunale,Urbani,17720,Fiume Tenza,Fiume Sele,"LOC. MADONNA DEL PONTE, CAMPAGNA, Campania, Italy","CAMPAGNA, SALERNO, Campania, Italy",40.6647292,15.1071455
SALERNO,TRAMONTI,loc. Pucara,Comunale,Urbani,16848,Fiume Regina Maior,Fiume Regina Maior,"loc. Pucara, TRAMONTI, Campania, Italy","TRAMONTI, SALERNO, Campania, Italy",40.6997332,14.6415366
SALERNO,TRAMONTI,LOC. PUCARA,Comunale,Urbani,16848,Fiume Regina Maior,Fiume Regina Maior,"LOC. PUCARA, TRAMONTI, Campania, Italy","TRAMONTI, SALERNO, Campania, Italy",40.6997332,14.6415366
